subj,sex.s,age.s,ethn,wc,wps,qmarks,unique,dic,sixltr,pronou,i,we,self,you,other,negate,assent,articl,preps,number,affect,posemo,posfee,optim,negemo,anx,anger,sad,cogmec,cause,insigh,discre,inhib,tentat,certai,senses,see,hear,feel,socialw,comm,othref,friend,family,humans,time,past,presen,future,space,up,down,incl,excl,motion,occup,school,job,achiev,leisur,home,sports,telev,music,money,metaph,relig,death,physca,body,sexual,eating,sleep,groom,swear,nonfl,filler,ext.s,agr.s,con.s,ems.s,ope.s,zext.j,zagr.j,zcon.j,zems.j,zope.j
59,1,18,5,1577,10.17,25.16,26.95,85.61,9,17.88,6.66,.63,7.29,3.8,3.3,3.42,4.88,3.8,8.37,1.65,5.77,3.74,.32,.25,2.03,0,.95,.25,7.48,1.59,1.4,2.22,.19,1.4,1.4,2.28,.7,1.4,.06,11.48,1.71,7.86,.44,.25,.76,2.85,3.11,17.5,1.46,2.66,.82,.25,3.87,3.55,2.16,1.97,1.33,.38,.32,.82,.13,.51,0,.19,.32,.32,.32,0,1.14,.44,.44,.19,.06,0,.76,1.2,3.68,5,4.88888888888889,3.55555555555556,4.125,3.4,.954174729006626,-.363780441038252,.133684688937085,1.00180177413486,-.0728680318585104
60,1,18,1,682,4.77,18.18,38.27,80.21,6.01,12.9,4.84,1.91,6.74,2.79,1.61,4.55,2.05,4.4,7.18,2.35,6.16,2.49,.29,.73,3.67,0,2.35,.59,6.45,.29,1.17,1.91,1.03,2.2,1.03,2.05,.44,1.17,.15,10.12,1.76,6.45,.15,0,1.17,2.93,4.55,18.18,.44,3.37,1.32,.29,2.2,5.87,3.67,1.76,.59,.29,1.17,.44,0,.44,0,0,.73,.29,.29,0,1.03,.59,.15,.29,0,0,1.91,.29,.73,4.5,3.55555555555556,3.33333333333333,3.75,4.5,.420254758150993,-.746461893451972,-.0159355328924147,.0798962879138263,-.332208825610071
61,1,18,1,1292,10.95,2.54,33.98,79.26,10.68,18.58,4.41,1.47,5.88,2.79,5.73,3.02,1.16,3.95,10.22,2.01,3.72,2.48,.7,.31,1.24,0,.62,.15,6.11,1.08,1.32,2.01,.31,3.48,.39,2.71,.85,1.39,.31,13.31,1.55,10.22,.31,0,.7,4.02,5.42,13.7,1.24,2.94,1.78,.46,5.8,4.41,1.55,1.32,.46,.15,.77,2.09,.23,1.55,.15,.15,.54,.7,.7,0,.77,.31,.39,0,.08,.15,.31,.77,1.55,3.625,2.88888888888889,3.88888888888889,3.25,3.3,-.44136627173067,.706871950609113,-1.01787028371487,1.2713382199173,-1.80636343793168
63,1,18,2,310,5.25,15.25,47.1,81.61,6.13,15.81,7.74,.32,8.06,1.94,2.26,3.23,4.19,6.45,7.1,4.19,3.55,2.9,.65,.32,.65,0,.32,0,4.19,.32,1.61,.65,0,1.29,.32,1.29,.65,.65,0,6.77,.65,4.52,0,0,1.29,2.9,3.55,12.26,0,4.19,1.61,.97,7.42,3.87,1.61,2.9,1.61,.32,.97,.97,.32,.32,.32,0,0,0,0,0,.65,.32,.32,0,0,0,.32,3.23,1.61,2.5,2.22222222222222,3.44444444444444,3.5,4.8,-1.97051334071851,.782745204049608,1.27416609648787,-.0241081541904798,.223729973585292
64,1,18,2,1249,7.76,19.88,31.31,79.1,7.61,17.05,8.01,.16,8.17,4.4,1.36,2.88,2.64,3.2,11.13,1.92,2.56,1.84,.24,.16,.64,.16,.48,.16,9.37,.96,2.16,2.64,.08,2.16,.64,3.6,1.12,2.24,.16,9.77,2.48,6.08,0,.32,.72,3.36,3.92,15.93,.88,3.36,1.28,.72,4.24,3.04,1.92,1.04,.64,.16,.16,.56,.32,.16,0,.08,.96,.08,0,.08,.96,.16,.24,.08,.64,0,.24,.8,1.6,3.125,4.11111111111111,3.33333333333333,3.5,3.4,-.761122365452248,.0517467748261285,.354647354108724,1.43495659972237,-.697431575543546
65,1,19,4,1150,4.91,18.8,34.61,81.48,8,16.7,5.83,.52,6.35,4.09,2.78,1.65,3.04,5.13,8.09,1.91,7.13,2.52,.35,.26,4.61,.26,3.65,.26,5.91,1.04,1.48,1.22,.17,2.26,.35,2.35,.52,1.04,.26,10.52,1.22,7.57,.09,.17,1.04,2.61,3.65,15.65,.61,2.43,1.3,.35,2.96,4.35,2.17,.96,.43,0,.43,.61,.26,.26,0,.09,.17,.52,.35,.17,2.61,.7,1.3,.7,.26,0,3.3,0,.87,4.375,3.66666666666667,3,3.25,4.3,.923122173593386,-.990874253040519,-1.16848240593852,.968306071362331,-1.24429682655917
66,1,18,1,1367,5.51,14.92,26.48,81.86,7.46,18.43,6.66,1.24,7.9,4.1,2.56,2.63,3.44,3.73,8.49,2.41,4.02,2.27,.22,.22,1.76,0,.29,.44,9.73,.8,2.19,3.73,.22,3.8,.88,2.41,.73,1.61,.07,11.34,2.49,8.05,0,.29,.37,3.29,3.29,17.41,.88,1.54,.73,0,2.63,5.05,1.61,2.12,1.02,.73,.8,.59,0,.15,.15,.22,.22,0,0,0,.29,.15,0,.22,0,0,0,.51,1.24,4.25,4.33333333333333,4.66666666666667,5,3.8,.435724802667949,.846332138588063,.635662010236666,.823313315898501,.38813000585007
73,1,19,2,456,11.4,5,44.3,83.11,12.94,17.76,8.33,1.32,9.65,1.54,1.97,3.29,1.54,4.61,11.84,6.36,1.54,.66,0,0,.88,0,.88,0,7.89,1.97,1.75,3.29,0,2.85,.44,.88,.22,.44,0,6.8,.44,4.82,.88,0,.44,1.97,3.29,14.04,.22,1.54,.22,0,5.26,4.61,3.07,5.04,4.17,1.1,.44,.66,.44,0,0,.22,1.1,0,0,0,1.32,0,.44,.88,0,0,1.1,.66,1.32,3.25,3.66666666666667,3.66666666666667,4,3.2,-.0318278779215016,-.34366841522522,-1.5793399927112,.43421611904751,.0943454729141454
76,1,18,1,901,5.81,10.32,35.96,79.8,11.76,13.76,4.55,0,4.55,3.88,3,3.11,4,5.33,9.1,1.66,2.77,2.11,0,.22,.67,0,.44,.11,8.32,1.66,2.44,2.11,.55,3.55,.55,2,1,.89,0,9.1,1.11,6.88,0,0,.44,3.33,4.11,13.21,.89,2.44,.67,.44,4,4.55,1.55,2,1.11,.55,.22,.67,.11,.55,0,0,.44,0,0,0,.22,.11,0,.11,0,0,.44,1.44,2.44,2,3.77777777777778,2,2.85714285714286,2.7,-1.22527054886153,1.25423642287317,1.635704881661,.544515401053673,.118958192584592
78,1,18,1,985,4.3,12.66,33.91,76.24,7.01,16.65,7.51,.71,8.22,2.34,2.34,1.62,3.55,3.15,8.53,1.62,4.97,3.05,0,0,1.93,0,1.32,.41,6.4,.61,1.32,2.23,.1,2.44,.71,1.62,.61,.71,.1,7.61,.91,5.58,.1,.2,.61,3.45,2.74,16.24,.61,2.64,1.12,.51,2.54,3.65,3.05,1.52,1.12,.2,.3,1.22,.1,.3,.1,.71,.2,1.12,1.12,0,1.22,.61,.41,.51,0,0,1.22,.61,.51,4.625,3.66666666666667,2.88888888888889,4.625,4.2,1.21596207469593,-.278617272375069,-1.78472371339648,1.15064963021955,-1.33674060200522
79,1,18,1,613,9.43,3.08,42.41,78.47,12.4,16.15,4.73,1.14,5.87,4.24,1.96,4.4,2.12,5.06,10.11,1.79,2.94,1.79,.33,.33,1.14,0,.33,.33,7.83,1.31,2.94,2.61,0,2.61,.33,.65,.16,.49,0,9.62,1.63,7.5,0,0,.33,3.1,3.75,17.29,.33,3.1,1.47,.33,4.24,5.55,.82,1.79,1.47,.33,.16,.49,.33,0,0,.16,.33,.16,.16,0,1.31,1.31,0,.16,0,0,.16,.65,1.47,1.5,3.33333333333333,3.77777777777778,2.5,4,-1.62899903935112,.723134513004632,.795774602890981,-.198912323078821,.668102789497999
80,1,19,1,1217,7.12,30.41,31.72,80.12,11.09,14.13,3.62,.49,4.11,4.85,1.31,2.38,4.11,3.7,7.89,2.55,3.53,2.79,.33,.25,.74,.08,.25,.16,7.81,.9,1.15,2.79,.25,3.86,.33,.9,.08,.41,.08,9.12,.66,6.82,0,0,1.31,3.04,3.2,15.45,.9,3.53,1.73,.25,4.27,5.18,1.81,1.81,.82,.74,.58,.41,.33,0,0,.08,.9,0,0,0,.9,.16,0,.58,.08,.16,.16,1.23,1.81,3.5,4.22222222222222,4,3.125,4.5,1.07409066215995,2.66249803329048,1.3918755251306,2.22289980853051,.977973876403751
81,1,21,1,557,8.57,12.31,34.65,83.66,8.44,15.62,7.18,.36,7.54,4.85,.72,3.59,2.87,3.23,11.13,3.77,2.33,1.26,0,.18,1.08,.18,.18,.18,7.54,.9,2.33,2.15,.36,5.39,1.44,2.51,.72,1.44,.36,8.08,1.8,5.92,0,0,.36,2.87,2.51,15.62,1.44,4.13,2.33,.54,5.39,4.49,1.97,2.15,.9,.54,.9,.18,.18,0,0,0,.36,0,0,0,.54,.18,.18,0,.36,0,.18,.72,4.49,4,4.55555555555556,4.11111111111111,4.875,4.3,-2.07372479480787,-.466552873933341,.226880272770052,-1.27821393460788,-.234560397996545
82,1,18,1,443,4.82,16.3,48.31,83.07,9.71,14.9,4.97,1.58,6.55,3.61,1.35,4.74,2.93,5.42,10.61,2.48,4.97,2.26,0,0,2.71,0,1.81,.68,7.67,.68,1.58,1.35,.45,2.93,.45,1.81,.68,.68,.23,9.03,1.13,6.77,0,.23,.45,3.84,2.03,16.93,3.16,5.64,1.81,0,2.93,6.77,2.48,1.13,.45,.23,.68,.68,0,.45,0,.23,.23,.68,.45,.23,1.58,.23,1.13,.23,0,0,1.58,1.13,1.13,1.875,3.77777777777778,2.44444444444444,3.25,3.9,-.18646866364233,-.45245945475351,-1.13848644168664,.271295034074606,.315492236956589
83,1,18,1,865,8.65,19,35.72,85.2,9.48,15.03,4.05,1.27,5.32,2.66,4.16,3.12,3.12,4.51,8.32,2.66,4.39,3.58,.35,.23,.81,.35,.69,.12,5.55,.69,1.39,1.39,.35,2.89,1.16,1.97,.69,.92,.35,10.4,1.16,8.21,0,0,.35,2.54,4.39,13.53,.46,4.28,1.5,.58,4.51,4.51,3.47,1.73,.92,.46,.46,1.97,0,.81,0,1.16,.35,.23,.23,0,.69,.23,.46,0,0,.12,.58,4.39,4.05,4.25,3.55555555555556,2.88888888888889,4.125,4.3,1.42353904512547,.258840958486321,.776412233203069,1.55179645170546,.66211099231082
85,1,18,1,997,5.42,8.15,33.1,79.84,8.63,16.45,5.42,.5,5.92,3.41,3.21,2.91,2.41,3.91,8.63,1.91,4.51,2.21,.1,.4,2.31,.3,1.71,0,7.72,.5,1.91,2.31,.3,3.51,1.4,2.81,.5,2.11,.1,11.43,2.61,7.52,.1,0,.8,3.51,4.51,12.84,1.1,2.71,1,.3,3.21,5.02,1.3,1,.6,0,.4,.9,.3,.3,0,.3,.2,.7,.5,.2,1.1,.3,.3,.5,.2,0,1.4,1.5,1.1,2.25,4.22222222222222,3.66666666666667,4.375,4.55555555555556,-.665824791227935,-.00485807756061319,-.0930035477685823,-.628641550032015,.522832032346896
86,1,19,4,1507,5.38,12.14,29.33,79.96,8.69,17.72,5.77,.93,6.7,5.91,2.06,3.72,2.52,3.78,8.03,2.65,3.25,1.13,.07,.2,2.12,.07,1.26,.07,7.17,1.13,2.06,2.06,.2,2.65,1.06,2.19,1.33,.46,.07,11.41,.6,9.29,.07,.07,1.13,3.58,4.45,15.39,1.26,3.85,1.39,.07,3.25,4.11,2.12,2.32,1.06,.66,.8,.73,.4,.13,.13,.07,.8,.86,.73,.13,1.33,.33,.2,.6,.13,.13,1.73,.4,1.13,3.625,4.22222222222222,4,4.5,4.6,1.30796810937447,.697984011331547,-.626195466988499,1.6118137415827,.85616660014721
88,1,19,2,872,7.58,20.87,35.67,83.14,8.83,17.43,5.39,1.38,6.77,3.1,3.9,2.87,1.83,3.78,9.52,2.41,3.67,1.61,0,.23,2.06,0,1.26,0,8.14,1.61,1.95,2.75,.23,4.01,.69,2.52,.57,1.38,.23,10.55,1.72,8.49,0,0,.11,4.47,3.44,15.71,1.49,2.29,1.03,0,3.44,4.01,1.72,1.95,1.03,.57,.69,1.72,.46,.92,0,.23,.57,.11,.11,0,1.72,.34,.46,.92,.11,0,1.15,.57,2.18,3.5,3.77777777777778,3,4,4.5,-1.21296055498287,-1.0646465896228,-.175831238961586,-.431790843839464,2.06847919104492
89,1,19,4,1395,4.54,14.66,25.16,81.43,6.74,16.63,6.31,1.79,8.1,2.15,2.08,2.44,4.73,4.59,6.95,1.79,5.02,2.58,.14,.43,2.44,.07,1.51,.36,6.38,.57,2.44,1.29,.36,2.15,.36,2.37,1,1,.22,9.46,1.65,6.24,0,.14,.93,2.44,2.37,16.27,2.58,3.08,1.43,0,3.58,3.8,2.87,1.29,.65,.36,.22,1.65,.72,.57,.14,.22,.29,.29,.29,0,1.08,.5,.43,.14,.07,0,1.65,.65,1.29,2.875,4.55555555555556,3.66666666666667,3.5,3.8,.484428088787031,.274759966670851,.68342199457092,-1.4048330743362,1.01797247248728
93,1,18,2,813,6.16,22.73,36.41,83.89,11.69,17.84,7.87,.98,8.86,3.2,.74,3.81,1.97,3.94,8.61,2.83,4.18,2.58,.12,.62,1.6,.12,.74,.12,7.87,1.23,2.83,1.85,.62,2.46,.62,2.71,1.72,.74,.25,6.52,.98,5.04,0,.12,.12,4.43,3.81,16.61,.74,2.83,1.72,0,4.43,6.4,2.34,2.83,2.21,.25,.37,.86,0,.12,.62,.12,.98,.25,.25,0,.62,.12,.37,0,.12,0,.62,1.72,2.09,1.875,3.22222222222222,3.77777777777778,3.125,3.9,-.545849731533051,-.498421343616711,.73036669910535,-.687593003508467,.287233730385446
94,1,19,2,672,5.21,18.6,39.58,78.42,11.9,13.24,3.57,0,3.57,2.83,3.12,2.98,2.98,3.72,5.8,3.27,3.72,2.38,.45,0,1.34,0,.89,.15,4.91,.89,1.04,1.64,0,3.87,1.49,1.04,.3,.6,.15,7.44,.6,6.1,0,0,.45,4.17,2.83,15.18,1.49,3.72,1.04,0,3.87,5.8,1.49,.45,.15,0,.3,.6,.15,.15,0,.3,.6,.3,.3,0,1.04,.45,.45,0,.15,0,.6,1.19,6.4,2.375,3.88888888888889,4.44444444444444,4.375,4,-.763551333934987,.670257566575839,1.46964911839471,.98786888882855,1.52203927111814
97,1,18,2,612,153,0,39.05,75.98,7.35,14.54,3.92,.65,4.58,3.76,2.78,4.58,3.27,3.76,7.84,2.61,5.23,2.12,.65,.16,3.1,0,2.45,0,8.33,1.8,1.47,1.14,.16,1.63,1.47,2.12,1.14,.82,0,11.11,1.63,7.52,0,.16,1.31,2.12,2.78,14.22,.65,4.08,.98,.49,2.45,3.76,2.29,.49,.16,.16,.16,1.47,.33,.65,0,.49,.98,.49,.33,.16,1.96,.82,.65,.82,.16,.16,2.61,.33,.65,2.75,3.11111111111111,2.66666666666667,3.125,3.7,.958613662465099,-1.47020175992945,-1.72919376714638,.723107479238567,-1.30148254552776
98,1,19,2,758,5.61,21.48,39.05,76.91,8.71,16.23,6.6,.26,6.86,3.43,2.37,3.3,2.37,5.01,8.18,2.24,3.17,1.98,.13,0,1.19,.13,1.06,0,7.26,1.19,1.58,1.72,.79,1.58,1.06,2.24,.4,1.58,.13,9.1,1.98,6.2,.26,.13,.4,1.45,3.17,15.44,.4,2.37,1.58,.26,3.83,4.22,1.32,2.11,1.06,.53,.4,1.72,.4,.13,.53,.66,.53,.66,.66,0,.66,.13,.26,.26,0,.13,.79,2.37,.92,4.25,4.33333333333333,2.88888888888889,3.875,3.2,.175397081303084,.189900960895614,.26627343169301,.0644752654542833,-.171732130933219
99,1,18,1,795,5,15.09,38.24,76.98,7.92,15.35,5.66,.88,6.54,3.65,2.39,2.89,3.14,3.14,7.67,3.65,4.4,1.51,.13,.13,2.89,.13,1.26,.5,6.79,.25,1.38,1.89,.63,2.52,.5,2.14,.88,.88,0,9.31,1.13,7.42,0,0,0,2.89,3.14,16.98,1.01,2.64,.63,.75,3.9,4.91,1.89,.75,.38,.13,.25,1.38,.5,.88,0,0,.75,.38,.38,0,.88,.38,.13,.38,0,.13,1.51,1.76,2.26,4,4.55555555555556,3.88888888888889,4.25,4.7,.424890114457893,-.530674458289865,-1.10875031501199,.690084616410265,-.490735408027181
101,1,20,5,722,4.08,16.38,36.98,80.61,8.03,16.2,5.96,.69,6.65,3.88,1.39,3.05,1.66,4.16,9.83,.83,5.4,2.08,.14,.42,3.32,.28,3.05,.14,5.96,.83,2.08,1.25,.14,2.63,2.08,2.22,.42,.83,.42,8.59,1.11,5.96,0,0,1.39,2.49,3.46,18.28,.28,5.12,2.77,.42,5.12,5.68,1.66,.69,0,.28,.55,.55,.28,.14,0,.14,.14,0,0,0,3.05,.83,1.39,.97,0,.42,2.77,.42,1.11,2.25,2.77777777777778,3.88888888888889,3.5,4.3,.110079477289187,-1.08178358843313,-2.23065458133456,.15229742668933,-.649663388009761
103,1,20,1,645,4.78,9.63,41.71,77.52,7.44,15.66,3.57,3.72,7.29,2.64,2.95,5.12,2.79,5.58,9.92,2.64,2.33,1.55,.16,.31,.78,0,.47,0,8.53,1.24,2.02,3.88,.16,2.64,.31,1.71,.31,1.09,.31,11.78,1.4,9.3,0,0,.62,1.4,3.26,14.88,1.86,2.64,1.24,.31,2.33,4.65,1.24,1.09,.31,.31,.31,.78,.31,0,.16,.31,.62,0,0,0,1.09,.93,0,.47,.16,.16,.16,.16,1.09,3.125,2.77777777777778,3.66666666666667,3.5,4,-.59214276638507,.395379909970832,1.25340818018639,.320582487747259,.972950145365881
106,1,18,1,908,4.05,10.71,36.67,77.09,8.37,16.19,6.72,.33,7.05,3.41,2.86,3.3,3.85,5.51,8.04,1.98,4.19,2.97,.11,.55,1.21,.22,.55,.11,7.49,.88,2.09,2.09,.33,2.75,.99,2.42,.88,1.21,.22,9.36,1.76,6.72,0,0,.66,2.31,4.85,13.11,.88,2.53,1.65,.55,3.74,4.85,1.65,1.32,1.1,.11,.11,.55,.22,.22,.11,0,.11,.11,0,.11,1.76,1.32,.66,.11,.33,0,.11,.55,1.76,4.75,4.66666666666667,2.88888888888889,4.25,4.9,.413120507143853,1.50337167252934,1.45771541929874,.6968281312487,1.04890883170148
109,1,21,1,415,7.41,21.43,42.41,87.23,7.23,17.11,6.27,.24,6.51,4.1,2.41,4.1,3.13,2.65,9.4,.24,3.13,2.17,0,0,.96,0,.48,0,10.36,.72,2.41,2.41,0,2.89,1.93,3.61,.96,2.65,0,12.05,2.89,6.99,.24,0,1.45,2.89,4.1,14.94,.96,2.89,.72,.72,3.61,5.06,1.45,2.65,1.93,.48,.72,.24,.24,0,0,0,0,.24,.24,0,.24,0,.24,0,0,0,.48,1.2,4.1,3.5,3.44444444444444,4,4.375,3.8,-1.0105415740415,-.376527487748358,.569297700288411,-.498099940028452,-.454186668863736
110,1,19,1,877,5.66,9.03,38.31,80.5,8.1,18.13,6.73,1.03,7.75,4.1,2.74,3.99,1.37,4.1,11.06,1.48,4.9,2.74,.68,.34,2.17,0,1.6,.11,6.39,.91,2.05,1.82,.34,2.74,1.37,2.39,.57,1.25,.57,11.06,1.94,8.44,.11,0,.34,1.71,4.33,16.42,1.25,4.33,2.17,.57,3.19,5.36,1.94,2.51,.91,.68,1.03,.68,.23,.46,0,0,.57,.68,.23,.46,1.71,.11,1.03,.57,0,.11,.91,.91,1.71,3.625,3,3.55555555555556,2.875,4.1,.578447267765724,-.617992852923059,.344388790000822,1.02077668979435,-.0945560470362135
4,2,20,5,424,84.8,100,37.74,91.98,6.84,23.11,9.43,.71,10.14,4.72,6.13,3.07,1.42,2.12,8.25,1.18,1.65,1.42,0,0,.24,.47,.24,0,6.84,1.42,1.18,1.89,.24,2.59,.71,6.37,0,5.9,.24,20.05,6.6,11.79,0,0,1.42,5.9,10.38,10.85,.47,3.3,2.12,.47,5.19,3.77,.47,.94,0,.71,.94,.71,.71,0,.24,0,.24,.24,.24,0,.94,.24,.47,.47,0,0,.24,.94,4.95,2.5,3.66666666666667,3.77777777777778,3.25,2.6,-1.83616770371336,-2.10823524368745,-1.08188769467779,-1.27855949972239,-1.40096609111481
8,2,20,1,1179,25.09,31.91,32.91,84.9,10.52,14.08,6.7,.93,7.63,1.7,2.37,2.88,1.44,5.34,9.08,.68,4.66,3.14,.76,.51,1.53,0,.68,.08,9.5,1.02,2.29,3.9,.34,2.97,1.44,1.78,.34,1.36,0,8.99,2.29,5.26,.42,.17,.59,2.71,3.73,14.93,1.27,1.61,.85,.34,5.34,5.94,1.44,1.53,.42,.68,.59,1.02,.68,.08,.25,.25,.51,.42,.25,.17,.85,.17,.51,.08,.17,0,.25,1.87,5.77,2.625,4.11111111111111,3.44444444444444,2,4,.422132417026772,1.38155356059947,1.84815231749936,1.07618134388526,2.63462145659101
19,2,20,1,1021,9.37,15.6,32.52,84.72,9.21,17.92,8.03,.88,8.91,2.06,2.64,3.62,2.35,3.82,8.42,1.86,4.7,2.55,.39,.98,2.15,.49,1.08,.39,8.03,.69,2.15,3.43,.2,3.04,.59,3.13,.78,2.06,.29,9.7,2.35,5.68,.39,.2,.69,2.84,5.88,14.2,1.37,2.15,.29,.49,5.19,6.27,1.67,.98,.2,.2,.78,.59,.2,.2,0,.2,.29,.2,.2,0,.88,.1,.59,.2,0,.1,.69,.1,2.94,4.375,4.22222222222222,3.11111111111111,3,3.6,.29297742678332,-.831698081853764,-.532941501156675,-.0340434788222013,.0230420058697903
21,2,20,1,645,7.33,27.27,38.76,83.26,8.84,18.6,8.22,.93,9.15,3.41,2.64,2.02,3.72,2.33,8.68,1.24,4.81,3.72,.47,.16,1.09,.16,.31,0,7.91,2.02,2.48,2.33,0,1.09,.31,3.1,1.09,1.55,.16,12.4,3.26,7.13,.31,0,.47,3.88,4.81,12.25,2.48,2.02,.93,.16,4.34,3.88,1.86,1.09,.93,.16,0,2.33,.93,.31,.62,.62,0,.16,.16,0,.93,0,.31,.62,.31,0,.16,.16,3.88,3.875,4.55555555555556,3.22222222222222,3.375,3.8,-.0402870523415343,-.0357480666499121,.0766084101501494,-.809183617274383,-1.27236254104374
22,2,19,1,1360,8.95,25,26.4,86.84,6.1,17.28,5.66,.59,6.25,4.49,3.82,2.35,4.93,3.09,10.74,2.06,4.56,3.24,.29,.22,1.32,.15,.96,0,7.5,.37,2.13,2.87,.15,2.5,1.69,1.69,.51,1.1,0,11.84,1.4,9.12,0,.07,.74,2.94,3.53,14.63,1.62,3.9,1.54,.44,4.71,3.24,2.65,.88,.29,.29,.44,.51,.44,0,0,.07,.59,.74,.59,.15,1.03,.37,.29,.15,.22,.22,.74,.29,3.01,4.375,3.44444444444444,2.22222222222222,3.5,4.5,.352410411359655,.916904295596601,.572017124962343,.875120860045527,1.62192912599175
25,2,18,1,1503,46.97,18.75,29.01,80.77,9.12,18.3,7.78,1.26,9.05,3.99,2.66,4.59,1.53,3.59,7.25,2.46,5.12,2.46,.27,.33,2.59,.13,1.06,.67,8.52,1.66,2.66,1.8,.13,2.66,1,2.4,.6,1,.33,10.78,1.33,8.12,.13,.53,.53,3.33,3.79,16.83,.8,2.33,1.46,.2,4.06,2.79,1.73,1.73,1.4,0,.33,.73,.33,0,.07,.33,.13,.33,.33,0,1.06,.27,.33,.4,.07,.13,.93,1,2.93,4.375,4.77777777777778,2.22222222222222,4.125,4.4,.547579602195761,-.754878700768009,-1.04386064364063,-.0812568561318723,-.190005971757664
26,2,18,1,1133,5.15,1.36,33.36,77.49,8.74,15.18,6.62,.79,7.41,2.03,2.29,2.38,4.59,3.88,8.74,1.85,3.44,1.85,.35,.26,1.59,.26,.53,.26,5.74,.26,1.77,1.5,.09,2.21,.88,1.32,.18,1.15,0,7.94,1.59,5.83,0,.09,.26,3.44,2.38,13.68,.71,3,1.59,.44,4.68,2.56,1.85,1.06,.88,.09,.09,1.32,.53,0,.53,.35,.18,.18,.18,0,.62,.35,.18,0,.18,.09,.44,2.65,2.12,4,4,3.88888888888889,4.5,4.1,.12926422358083,.148028838814556,.732305511577422,-.197922440231204,-.000309642947553589
27,2,17,1,1442,8.9,11.11,28.71,86.13,8.6,19.07,8.67,.62,9.29,2.77,3.95,3.54,1.66,2.64,8.6,2.08,3.05,1.66,.35,0,1.39,.35,.83,.14,7.35,1.25,1.66,2.36,.42,2.7,1.11,2.91,.76,1.8,.28,11.79,2.43,7.7,.35,.21,.97,2.84,5.27,13.25,1.04,2.57,.83,.21,4.37,4.3,1.46,1.73,1.18,.14,.42,.49,.35,.07,0,.07,.35,.28,.21,.07,.55,.14,.14,.35,0,.07,.07,.76,5.83,3.375,3.77777777777778,4.11111111111111,2.75,3.8,.714355010006125,-.298547580962741,-.411871314759313,-.242023200100957,-1.53101387029158
32,2,20,2,732,14.94,24.49,32.51,88.52,9.43,20.49,7.79,.27,8.06,3.14,6.15,3.14,3.96,3.28,7.24,.96,2.87,1.91,.68,.14,.96,.14,.27,0,8.47,1.64,2.05,2.6,.41,2.73,1.09,4.51,1.09,3.28,.14,15.85,4.23,9.84,.41,.55,.68,3.69,6.56,11.48,.68,2.73,.68,.41,5.74,5.19,2.32,.55,0,.27,.27,.41,.27,.14,0,0,.41,0,0,0,.14,0,.14,0,0,0,0,1.37,5.74,3.25,4.44444444444444,3.33333333333333,2.375,4.6,.025520617015282,.0283852379629424,-.0209726745456409,-1.04132385898097,-.654668007536559
33,2,18,1,890,6.54,13.24,31.35,85.39,9.78,17.42,6.4,1.01,7.42,3.26,3.71,3.71,2.58,2.92,8.09,5.17,3.71,2.58,.11,.22,1.01,.11,.11,.22,9.89,2.92,1.91,3.03,.11,2.13,.79,2.47,.22,1.69,.34,11.24,1.91,8.65,0,.11,.56,3.82,3.37,17.08,.79,.9,.45,0,4.38,4.94,2.81,1.91,.56,.22,1.24,.45,.45,0,0,0,.11,.11,.11,0,.67,.22,.11,.22,.22,0,0,.11,2.13,3.5,4.55555555555556,2,1.875,2,-.559511885485887,1.1825585029272,.623655709604199,-.954569989854993,-.0460727590280893
34,2,19,1,858,9.23,16.13,34.27,82.98,7.58,18.3,8.51,1.28,9.79,3.61,2.68,1.98,1.4,1.86,11.54,1.52,1.98,1.28,.35,.23,.7,.23,.23,.23,7.69,.82,2.33,3.26,.12,3.15,.12,2.68,.35,1.98,0,12,2.8,7.69,.47,.35,.12,4.66,5.01,14.22,1.28,3.26,1.05,.58,7.23,5.13,2.56,1.28,.7,.35,.23,1.28,.7,.47,0,0,0,.23,.23,0,1.98,1.05,.23,.58,.23,.23,.12,1.28,3.03,3.75,4.77777777777778,4.55555555555556,3.25,3.1,.489957188937023,.38552189348924,.455584600931127,-.437785120966196,-.674264389728936
36,2,18,1,1379,6.63,9.62,31.4,79.84,9.14,18.13,7.25,1.02,8.27,3.55,2.47,2.1,2.25,4.13,7.11,2.39,3.26,2.18,.36,.15,1.02,.22,.22,.15,8.12,1.67,2.18,2.61,.07,2.18,.73,1.96,.51,.94,.36,9.43,1.23,7.25,.22,.07,.36,3.34,3.26,13.85,1.89,2.97,1.23,.29,5,4.86,1.31,1.6,1.09,.22,.51,1.89,.29,.36,.29,.94,.15,.58,.44,.15,.73,.22,.29,.07,.15,0,.07,1.38,4.79,4.25,4,4.22222222222222,3.625,4.7,.659873260051708,-.0917720750968964,.0558659508581352,-1.49808877285453,-.34377706202844
37,2,18,4,2055,9.47,18.89,27.79,77.71,12.12,16.01,4.53,1.02,5.55,2.82,4.53,3.5,2.97,3.6,7.83,1.61,3.26,2.09,.19,.15,1.17,.19,.34,.15,7.2,1.22,2.14,2.48,.1,3.7,1.61,1.56,.83,.58,0,10.9,.68,8.42,.15,.78,.58,2.34,2.97,14.36,1.17,2.34,.97,.29,4.77,4.57,1.7,.97,.49,.19,.34,1.17,.49,.34,.15,.24,.1,.24,0,.24,.92,.44,.24,.15,.19,.19,.19,.49,5.06,2,3.33333333333333,4.33333333333333,3.75,3.2,.538278069647854,.365496260721549,.546425792466898,.667463435677679,.00857068938735911
